200356 - Italian Adriatic,264,173,412,343,70,510,211,353,236,181,519,56,349,521,424,341,430,,
200365 - Portugal,225,129,39,506,216,134,246,224,244,435,52,198,29,160,193,,,,
200341 - Brazil,245,362,21,273,191,258,174,356,300,171,46,281,205,106,394,307,401,359,
200337 - Amalfi Coast,319,522,450,10,260,485,532,565,183,241,379,329,368,73,527,251,28,,
200367 - Slovenia,467,408,439,27,196,489,67,437,84,153,60,209,415,79,36,465,,,
200371 - Southern Spain,530,13,135,167,502,6,82,71,101,55,89,125,438,49,219,513,290,,
200344 - Canary Islands,185,270,44,232,303,33,97,58,41,287,177,23,168,96,248,127,,,
200345 - Chile,25,357,422,267,22,145,452,247,355,38,203,150,462,468,466,131,323,,
200347 - Crete,472,444,102,100,416,358,141,218,163,261,263,295,375,322,192,556,,,
200351 - Finland / Estonia,14,447,561,533,558,436,500,569,351,457,222,404,105,428,161,86,,,
200352 - Greek Islands,419,321,372,442,166,94,207,377,484,143,473,504,32,63,338,276,,,
200349 - Cyprus,526,563,531,34,217,385,172,285,328,392,8,274,179,386,524,262,,,
200346 - Colombia,220,453,87,547,542,283,229,411,257,520,255,479,254,35,226,,,,
200348 - Croatia,142,108,528,493,138,122,104,272,148,175,128,342,294,499,,,,,
200372 - Spanish Mediterranean,312,458,380,282,165,2,393,238,562,130,230,534,132,470,335,77,,,
200343 - Bulgaria,332,451,518,514,429,486,367,50,107,195,121,325,280,233,144,110,,,
200363 - Northern Spain,474,47,498,317,409,164,327,12,83,402,374,20,334,396,204,557,,,
200362 - New Zealand,541,169,159,559,188,215,540,324,326,249,460,481,9,40,158,371,391,512,
200359 - Montenegro,11,538,259,80,454,365,440,119,19,186,237,31,515,81,297,,,,
200364 - Peru,137,361,293,482,369,228,189,239,352,420,464,384,406,395,313,72,331,503,
200360 - Morocco,54,449,5,551,426,212,288,333,546,242,560,147,301,124,75,,,,
200368 - South Africa,417,448,405,275,427,213,363,243,291,113,418,136,234,320,190,,,,
200340 - Belize,214,140,495,90,256,475,221,567,182,194,17,139,7,133,253,,,,
200358 - Malta / Sicily,65,120,118,376,99,494,76,525,103,154,155,381,549,,,,,,
200366 - Romania,24,240,51,3,42,360,184,53,223,304,180,,,,,,,,
200355 - Israel,114,433,151,398,523,477,306,505,456,336,268,149,480,337,157,309,354,16,
200357 - Jamaica,414,446,441,298,539,146,265,93,400,399,508,346,390,388,311,156,284,344,57
200336 - Alaska,434,511,350,266,553,201,492,407,78,208,443,387,423,26,126,382,,,
200339 - Bali,37,548,116,315,491,373,170,425,289,302,507,529,227,389,30,378,,,
200342 - Budapest / Vienna,296,476,286,568,471,536,18,478,432,345,279,69,348,202,250,,,,
200361 - Mystery,299,59,88,461,347,483,98,550,488,95,509,62,112,269,48,206,501,64,4
200370 - South of France,292,109,564,455,463,340,487,1,111,178,66,187,117,545,,,,,
200354 - Hong Kong / Taiwan,421,271,490,403,310,554,314,278,252,318,537,91,517,43,364,85,,,
200338 - Amazing Race,497,277,92,45,445,410,516,316,231,152,74,176,339,413,305,431,235,61,
200374 - Vietnam,197,535,552,459,200,123,162,366,566,370,199,,,,,,,,
200353 - Hawaii,397,543,544,496,469,68,383,555,115,330,15,308,210,,,,,,
